"","no rank","superkingdom","phylum","class","order","family","genus","species","subphylum","name_id"
"43","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halobacterium","Halobacterium salinarum",NA,"Halobacterium salinarum R1|478009"
"44","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halobacterium","Halobacterium salinarum",NA,"Halobacterium salinarum|2242"
"45","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Haloferacales","Haloferacaceae","Haloferax","Haloferax volcanii",NA,"Haloferax volcanii DS2|309800"
"46","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Haloferacales","Halorubraceae","Halorubrum","Halorubrum lacusprofundi",NA,"Halorubrum lacusprofundi ATCC 49239|416348"
"47","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Haloferacales","Haloferacaceae","Haloferax","Haloferax mediterranei",NA,"Haloferax mediterranei ATCC 33500|523841"
"48","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Haloferacales","Haloferacaceae","Haloferax","Haloferax mediterranei",NA,"Haloferax mediterranei ATCC 33500|523841"
"49","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Haloferacales","Haloferacaceae","Haloferax","Haloferax mediterranei",NA,"Haloferax mediterranei ATCC 33500|523841"
"50","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Natronomonas","Natronomonas pharaonis",NA,"Natronomonas pharaonis DSM 2160|348780"
"51","cellular organisms","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Pyrococcus","Pyrococcus furiosus",NA,"Pyrococcus furiosus DSM 3638|186497"
"52","cellular organisms","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Pyrococcus","Pyrococcus furiosus",NA,"Pyrococcus furiosus COM1|1185654"
"53","cellular organisms","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Pyrococcus","Pyrococcus furiosus",NA,"Pyrococcus furiosus DSM 3638|186497"
"54","cellular organisms","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus celer",NA,"Thermococcus celer Vu 13 = JCM 8558|1293037"
"55","cellular organisms","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus litoralis",NA,"Thermococcus litoralis DSM 5473|523849"
"56","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Thermoproteales","Thermofilaceae","Thermofilum","Thermofilum pendens",NA,"Thermofilum pendens Hrk 5|368408"
"57","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Thermoproteales","Thermoproteaceae","Thermoproteus","Thermoproteus tenax",NA,"Thermoproteus tenax Kra 1|768679"
"58","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Desulfurococcus","Desulfurococcus mucosus",NA,"Desulfurococcus mucosus DSM 2162|765177"
"59","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Thermoproteales","Thermoproteaceae","Pyrobaculum","Pyrobaculum islandicum",NA,"Pyrobaculum islandicum DSM 4184|384616"
"60","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Staphylothermus","Staphylothermus marinus",NA,"Staphylothermus marinus F1|399550"
"61","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Acidianus","Acidianus ambivalens",NA,"Acidianus ambivalens|2283"
"62","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfolobus","Sulfolobus acidocaldarius",NA,"Sulfolobus acidocaldarius DSM 639|330779"
"63","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfolobus","Sulfolobus acidocaldarius",NA,"Sulfolobus acidocaldarius Ron12/I|1028567"
"64","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfolobus","Sulfolobus acidocaldarius",NA,"Sulfolobus acidocaldarius N8|1028566"
"65","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfolobus","Sulfolobus acidocaldarius",NA,"Sulfolobus acidocaldarius SUSAZ|1435377"
"66","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfolobus","Sulfolobus acidocaldarius",NA,"Sulfolobus acidocaldarius|2285"
"67","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfolobus","Sulfolobus acidocaldarius",NA,"Sulfolobus acidocaldarius|2285"
"68","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfolobus","Sulfolobus acidocaldarius",NA,"Sulfolobus acidocaldarius|2285"
"69","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfolobus","Sulfolobus acidocaldarius",NA,"Sulfolobus acidocaldarius|2285"
"70","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfolobus","Sulfolobus acidocaldarius",NA,"Sulfolobus acidocaldarius|2285"
"71","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfolobus","Sulfolobus acidocaldarius",NA,"Sulfolobus acidocaldarius|2285"
"72","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfolobus","Sulfolobus acidocaldarius",NA,"Sulfolobus acidocaldarius|2285"
"73","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Saccharolobus","Saccharolobus solfataricus",NA,"Saccharolobus solfataricus P2|273057"
"74","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Saccharolobus","Saccharolobus solfataricus",NA,"Saccharolobus solfataricus 98/2|555311"
"75","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Saccharolobus","Saccharolobus solfataricus",NA,"Saccharolobus solfataricus|2287"
"76","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Saccharolobus","Saccharolobus solfataricus",NA,"Saccharolobus solfataricus|2287"
"77","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Saccharolobus","Saccharolobus solfataricus",NA,"Saccharolobus solfataricus|2287"
"78","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Saccharolobus","Saccharolobus solfataricus",NA,"Saccharolobus solfataricus|2287"
"79","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Saccharolobus","Saccharolobus solfataricus",NA,"Saccharolobus solfataricus|2287"
"80","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Saccharolobus","Saccharolobus solfataricus",NA,"Saccharolobus solfataricus|2287"
"81","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Saccharolobus","Saccharolobus solfataricus",NA,"Saccharolobus solfataricus|2287"
"82","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Saccharolobus","Saccharolobus solfataricus",NA,"Saccharolobus solfataricus|2287"
"83","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Saccharolobus","Saccharolobus solfataricus",NA,"Saccharolobus solfataricus|2287"
"84","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Saccharolobus","Saccharolobus solfataricus",NA,"Saccharolobus solfataricus|2287"
"85","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Saccharolobus","Saccharolobus solfataricus",NA,"Saccharolobus solfataricus|2287"
"86","cellular organisms","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Thermoplasmataceae","Thermoplasma","Thermoplasma acidophilum",NA,"Thermoplasma acidophilum DSM 1728|273075"
"87","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanomicrobiaceae","Methanoplanus","Methanoplanus limicola",NA,"Methanoplanus limicola DSM 2279|937775"
"88","cellular organisms","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanosphaera","Methanosphaera stadtmanae",NA,"Methanosphaera stadtmanae DSM 3091|339860"
"89","cellular organisms","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanosphaera","Methanosphaera stadtmanae",NA,"Methanosphaera stadtmanae|2317"
"90","cellular organisms","Archaea","Euryarchaeota","Methanopyri","Methanopyrales","Methanopyraceae","Methanopyrus","Methanopyrus kandleri",NA,"Methanopyrus kandleri AV19|190192"
"91","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanohalobium","Methanohalobium evestigatum",NA,"Methanohalobium evestigatum Z-7303|644295"
"92","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natrialba","Natrialba magadii",NA,"Natrialba magadii ATCC 43099|547559"
